Title,Subtitle,Pronoun,Chinese,English,URL,Category,Image_FileName,,
あした,明日,ashita,明日, tomorrow,,JPN5,,,
わたし,私,watashi,我, I,,JPN5,,,
あなた,,anata,你, you,,JPN5,,,
さん,,san,先生/女士, Mr./Ms.,,JPN5,,,
にほん,日本,nihon,日本, Japan,,JPN5,,,
ちゅうごく,中国,chuugoku,中國, China,,JPN5,,,
かんこく,韓国,kankoku,韓國, Korea,,JPN5,,,
アメリカ,,amerika,美國, USA/America,,JPN5,,,
インド,,indo,印度, India,,JPN5,,,
ドイツ,,doitsu,德國, Germany,,JPN5,,,
だいがく,大学,daigaku,大學, university,,JPN5,,,
こうこう,高校,kookoo,高中, high school,,JPN5,,,
がっこう,学校,gakkoo,學校, school,,JPN5,,,
せんせい,先生,sensee,老師, teacher,,JPN5,,,
がくせい,学生,gakusee,學生, student,,JPN5,,,
なまえ,名前,namae,姓名, name,,JPN5,,,
あのかた,あの方,anokata,那人, that person,,JPN5,,,
から,,kara,來自, from,,JPN5,,,
くる,来る,kuru,來, to come,,JPN5,,,
いく,行く,iku,去, to go,,JPN5,,,
どなた,,donata,誰(禮貌), who (a polite way),,JPN5,,,
ともだち,友達,tomodachi,朋友, friend,,JPN5,,,
いしゃ,医者,isha,醫生, doctor,,JPN5,,,
エンジニア,,enjinia,工程師, engineer,,JPN5,,,
かいしゃいん,会社員,kaishain,雇員, employee,,JPN5,,,
サラリーマン,,sarariiman,雇員, salaryman,,JPN5,,,
おいしい,美味しい,oishii,好味, delicious,,JPN5,,,
おおきい,大きい,ookii,大, big,,JPN5,,,
くに,国,kuni,國家, country/nation,,JPN5,,,
ご,～語,go,語, language,,JPN5,,,
じん,～人,jin,~人, a country's people,,JPN5,,,
コーヒー,,koohii,咖啡, coffee,,JPN5,,,
あつい,熱い,atsui,熱, hot,,JPN5,,,
さむい,寒い,samui,冷, cold,,JPN5,,,
の,,no,之,  ~'s/of/belonging to,,JPN5,,,
ほん,本,hon,書, book,,JPN5,,,
くるま,車,kuruma,車, car,,JPN5,,,
やまだ,山田,yamada,山田(姓), Yamada(surname),,JPN5,,,
さとう,佐藤,sato,佐藤(姓), Sato(surname),,JPN5,,,
すずき,鈴木,Suzuki,鈴木(姓), Suzuki(surname),,JPN5,,,
きょうしつ,教室,kyooshitsu,課室, classroom,,JPN5,,,
いいえ,,iie,不, no,,JPN5,,,
おなじ,同じ,onaji,相同,same,,JPN5,,,
かいしゃ,会社,kaisha,公司,company,,JPN5,,,
しごと,仕事,shigoto,工作,work,,JPN5,,,
しりょう,資料,shiryoo,資料,information / materials,,JPN5,,,
ざっし,雑誌,zasshi,雜誌,magazine,,JPN5,,,
しんぶん,新聞,shimbun,報紙,newspaper,,JPN5,,,
しゃしん,写真,shashin,写真,photograph,,JPN5,,,
かさ,傘,kasa,傘,umbrella,,JPN5,,,
かばん,鞄,kaban,錢包,bag,,JPN5,,,
ああ,,aa,啊,Ah! / Oh!,,JPN5,,,
どうぞ,,doozo,請,"please, here you are",,JPN5,,,
はいる,入る,hairu,進入,to enter,,JPN5,,,
おちゃ,お茶,ocha,茶,tea,,JPN5,,,
みず,水,mizu,水,water,,JPN5,,,
こうちゃ,紅茶,koocha,紅茶,black tea,,JPN5,,,
